"","yy","type","value","sd"
"1","2009","obs",2.27615938209481,0.767645710270281
"2","2010","obs",1.25150637530689,0.796069825936287
"3","2011","obs",0.931281964606186,0.489197055662121
"4","2012","obs",0.737992472028119,0.698953583368568
"5","2013","obs",1.11128371888958,0.651096915068405
"6","2014","obs",0.962574108401963,0.611515377113364
"7","2015","obs",1.06254119252013,0.50409187586534
"8","2016","obs",0.625017604515719,0.810463778135885
"9","2017","obs",0.973626228203385,0.67657030127574
"10","2018","obs",0.610424598661448,1.32262095192679
"11","2019","obs",0.559492687719406,0.582763756175942
"12","2020","obs",0.458262740827425,0.605579452276442
"13","2009","m3",2.27615938209479,0
"14","2010","m3",0.909403607681373,0.622166142136009
"15","2011","m3",1.18179910292199,0.290590609795115
"16","2012","m3",0.993699032621601,0.312506377825448
"17","2013","m3",1.1405864803943,0.105509915512695
"18","2014","m3",1.2693064688095,0.356596936767205
"19","2015","m3",1.34604154239275,0.287476228960261
"20","2016","m3",0.688142388930082,0.451574723044146
"21","2017","m3",0.9572834121193,0.0365483363149771
"22","2018","m3",0.812156694954587,0.458034002129735
"23","2019","m3",0.867891016817438,0.334910011218173
"24","2020","m3",0.523343201543242,0.176611655590776
"25","2009","m4",2.2192003004676,0.0161560724461669
"26","2010","m4",1.46535996501181,0.275482374894145
"27","2011","m4",1.0743720351902,0.253623286329011
"28","2012","m4",0.825325623008163,0.264506692073832
"29","2013","m4",1.13814081724545,0.191430422550996
"30","2014","m4",1.11814419743124,0.26138167483713
"31","2015","m4",1.24309485374614,0.252657527356957
"32","2016","m4",0.755028276582471,0.282009137555375
"33","2017","m4",1.0096405300829,0.156456840427274
"34","2018","m4",0.725481158178673,0.254838027537325
"35","2019","m4",0.759801811194362,0.295142983233787
"36","2020","m4",0.615254925807201,0.300594540647359
"37","2009","m5",2.07294538297599,0.0596179948230463
"38","2010","m5",0.887931828533872,0.625343730847584
"39","2011","m5",1.10159318242584,0.296431883123752
"40","2012","m5",1.00228321978375,0.326815252795982
"41","2013","m5",1.07215787629176,0.135723638949377
"42","2014","m5",1.22085765442259,0.369256991178847
"43","2015","m5",1.33532382230425,0.294257117630343
"44","2016","m5",0.667748290352547,0.456844268748479
"45","2017","m5",1.01641778445719,0.090068222739899
"46","2018","m5",0.930297735530235,0.465070137214383
"47","2019","m5",0.916903153543874,0.343425209135074
"48","2020","m5",0.598582311461288,0.181904641559331
