"","Length","Mat_F","Mat_M"
"1",17.5,2.08797e-14,5.21141e-10
"2",22.5,5.67569e-14,1.10326e-09
"3",27.5,1.54281e-13,2.33559e-09
"4",32.5,4.1938e-13,4.94445e-09
"5",37.5,1.13999e-12,1.04674e-08
"6",42.5,3.09882e-12,2.21595e-08
"7",47.5,8.42346e-12,4.69116e-08
"8",52.5,2.28973e-11,9.93119e-08
"9",57.5,6.22414e-11,2.10243e-07
"10",62.5,1.6919e-10,4.45085e-07
"11",67.5,4.59906e-10,9.42245e-07
"12",72.5,1.25015e-09,1.99473e-06
"13",77.5,3.39827e-09,4.22283e-06
"14",82.5,9.23745e-09,8.9397e-06
"15",87.5,2.511e-08,1.89251e-05
"16",92.5,6.8256e-08,4.00637e-05
"17",97.5,1.85539e-07,8.4811e-05
"18",102.5,5.04347e-07,0.000179528
"19",107.5,1.37096e-06,0.000379985
"20",112.5,3.72664e-06,0.000804086
"21",117.5,1.013e-05,0.00170072
"22",122.5,2.75357e-05,0.0035936
"23",127.5,7.48462e-05,0.00757724
"24",132.5,0.000203427,0.0159064
"25",137.5,0.000552779,0.033086
"26",142.5,0.00150118,0.0675467
"27",147.5,0.00407014,0.132964
"28",152.5,0.0109869,0.245085
"29",157.5,0.0293122,0.407333
"30",162.5,0.0758582,0.592667
"31",167.5,0.182426,0.754915
"32",172.5,0.377541,0.867036
"33",177.5,0.622459,0.932453
"34",182.5,0.817574,0.966914
"35",187.5,0.924142,0.984094
"36",192.5,0.970688,0.992423
"37",197.5,0.989013,0.996406
"38",202.5,0.99593,0.998299
"39",207.5,0.998499,0.999196
"40",212.5,0.999447,0.99962
"41",217.5,0.999797,0.99982
"42",222.5,0.999925,0.999915
"43",227.5,0.999972,0.99996
"44",232.5,0.99999,0.999981
"45",237.5,0.999996,0.999991
"46",242.5,0.999999,0.999996
"47",247.5,0.999999,0.999998
"48",252.5,1,0.999999
"49",257.5,1,1
"50",262.5,1,1
"51",267.5,1,1
"52",272.5,1,1
"53",277.5,1,1
"54",282.5,1,1
