"","","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2009",339,68,18,5,2,1,4,3,2,2,1,2,3
"2010",283,0,71,2,3,4,4,6,0,2,3,1,0
"2011",231,0,0,57,0,3,2,1,1,2,0,3,0
"2012",158,0,0,0,48,0,7,4,11,4,3,3,0
"2013",209,0,0,0,0,58,1,5,4,8,5,5,1
"2014",218,0,0,0,0,0,67,1,9,5,9,3,3
"2015",126,0,0,0,0,0,0,36,3,2,6,4,3
"2016",310,0,0,0,0,0,0,0,135,0,10,18,4
"2017",90,0,0,0,0,0,0,0,0,17,1,1,0
"2018",71,0,0,0,0,0,0,0,0,0,16,0,0
"2019",70,0,0,0,0,0,0,0,0,0,0,16,1
"2020",57,0,0,0,0,0,0,0,0,0,0,0,12
