"","Estimate","Std. Error","CV"
"log_F",-3.32,0.29,-0.09
"log_F",-2.94,0.28,-0.1
"log_F",-3.2,0.29,-0.09
"log_F",-2.98,0.3,-0.1
"log_F",-3.1,0.28,-0.09
"log_F",-2.88,0.27,-0.09
"log_F",-2.96,0.28,-0.09
"log_F",-2.41,0.27,-0.11
"log_F",-3.17,0.3,-0.09
"log_F",-2.76,0.29,-0.11
"log_F",-2.65,0.3,-0.11
"log_F",-3.24,0.33,-0.1
"log_retain",-0.21,0.05,-0.23
"log_latent_report",1.86,0.27,0.14
"log_latent_report",-1.36,0.32,-0.24
"log_latent_report",-0.57,0.26,-0.46
"log_latent_report",-0.27,0.23,-0.85
"M",0.06,0,0
"F",0.04,0.01,0.29
"F",0.05,0.02,0.28
"F",0.04,0.01,0.29
"F",0.05,0.02,0.3
"F",0.04,0.01,0.28
"F",0.06,0.02,0.27
"F",0.05,0.01,0.28
"F",0.09,0.02,0.27
"F",0.04,0.01,0.3
"F",0.06,0.02,0.29
"F",0.07,0.02,0.3
"F",0.04,0.01,0.33
"retain",0.81,0.04,0.05
"latent_report",6.41,1.7,0.27
"latent_report",0.26,0.08,0.32
"latent_report",0.56,0.15,0.26
"latent_report",0.76,0.17,0.23
