"","DF","DM","DN","Model"
"1",2.27,1.81,2.07,"Reference model"
"2",1.71,1.48,1.61,"Max. F = 1"
"3",2.6,1.98,2.32,"Max. F = 6"
"4",2.27,1.81,2.07,"SSF"
"5",1.71,1.48,1.61,"30% BOF"
"6",2.6,1.98,2.32,"90% BOF"
"7",1.58,1.21,1.42,"Profile h = 0.45"
"8",1.89,1.48,1.71,"Profile h = 0.5"
"9",2.11,1.67,1.92,"Profile h = 0.55"
"10",2.27,1.81,2.07,"Profile h = 0.6"
"11",2.38,1.92,2.18,"Profile h = 0.65"
"12",2.47,2,2.27,"Profile h = 0.7"
"13",2.54,2.06,2.34,"Profile h = 0.75"
"14",2.6,2.12,2.39,"Profile h = 0.8"
"15",2.65,2.16,2.44,"Profile h = 0.85"
