"","Model","SSB0","SSB_MSY","SSB_2020","SSB_MSY_2020","FM_2020","FSPR_2020","F01_2020","SSB_2030","SSB_MSY_2030","FM_2030","FSPR_2030","F01_2030"
"1","Reference model",346.722,98.5946,169.1,1.71510407263684,0.034,0.566666666666667,0.34,159.1,1.61367863960095,0.057,0.95,0.57
"2","Max. F = 1",415.483,118.178,242,2.04775846604275,0.023,0.383333333333333,0.23,232.5,1.96737125353281,0.039,0.65,0.39
"3","Max. F = 6",327.365,93.0792,147.5,1.58467197827227,0.039,0.65,0.39,137.2,1.4740135282641,0.066,1.1,0.66
"4","SSF",430.843,131.954,275.9,2.0908801552056,0.017,0.283333333333333,0.17,262.9,1.99236097427892,0.034,0.566666666666667,0.34
"5","30% BOF",348.69,99.1773,186.3,1.87845404139859,0.031,0.516666666666667,0.31,173.9,1.75342543102101,0.052,0.866666666666667,0.52
"6","90% BOF",347.299,98.7302,154.1,1.56081928325882,0.037,0.616666666666667,0.37,145.8,1.47675179428382,0.062,1.03333333333333,0.62
"7","Profile h = 0.45",346.804,122.198,117.1,0.958280822926725,0.05,0.833333333333333,0.5,99.4,0.813433935088954,0.09,1.5,0.9
"8","Profile h = 0.5",346.739,114.131,140.3,1.22928915018707,0.041,0.683333333333333,0.41,125.8,1.10224216032454,0.072,1.2,0.72
"9","Profile h = 0.55",346.72,106.313,156.9,1.47583080150123,0.037,0.616666666666667,0.37,145,1.36389717155945,0.062,1.03333333333333,0.62
"10","Profile h = 0.6",346.722,98.5946,169.1,1.71510407263684,0.034,0.566666666666667,0.34,159.1,1.61367863960095,0.057,0.95,0.57
"11","Profile h = 0.65",346.732,90.8389,178.2,1.96171463987345,0.032,0.533333333333333,0.32,169.8,1.86924324270769,0.054,0.9,0.54
"12","Profile h = 0.7",346.745,82.8979,185.1,2.23286717757627,0.031,0.516666666666667,0.31,178,2.14721965212629,0.051,0.85,0.51
"13","Profile h = 0.75",346.762,74.601,190.5,2.55358507258616,0.03,0.5,0.3,184.6,2.47449766088926,0.049,0.816666666666667,0.49
"14","Profile h = 0.8",346.78,65.7091,194.8,2.96458177025709,0.029,0.483333333333333,0.29,190,2.89153252745814,0.048,0.8,0.48
"15","Profile h = 0.85",346.8,56.0989,198.2,3.53304610250825,0.029,0.483333333333333,0.29,194.4,3.46530858893846,0.047,0.783333333333333,0.47
