,Model,SSB0,SSN0,SSB_MSY,SSB_2020,SSB_MSY_2020,Fref_2020,FSPR_2020,F01_2020,SSB_2030,SSB_MSY_2030,FM_2030,FSPR_2030,F01_2030,,,
1,Reference model,346.722,12380.9944,98.5946,169.1,1.715104073,0.051333333,0.855555556,0.513333333,159.1,1.61367864,0.056,0.933333333,0.56,,0.529209622,1.25203252
2,Max. F = 1,415.483,14836.36737,118.178,242,2.047758466,0.035666667,0.594444444,0.356666667,232.5,1.967371254,0.038,0.633333333,0.38,,0.367697595,0.869918699
3,Max. F = 6,327.365,11689.80334,93.0792,147.5,1.584671978,0.059,0.983333333,0.59,137.2,1.474013528,0.065,1.083333333,0.65,,0.608247423,1.43902439
4,SSF,430.843,15384.84416,131.954,275.9,2.090880155,0.026666667,0.444444444,0.266666667,262.9,1.992360974,0.035,0.583333333,0.35,,0.274914089,0.650406504
5,SJR Dome,397.926,14209.43805,105.764,208.9,1.975152226,0.036666667,0.611111111,0.366666667,199.9,1.890057108,0.039,0.65,0.39,,0.378006873,0.894308943
6,30% BOF,348.69,12451.28396,99.1773,186.3,1.878454041,0.046666667,0.777777778,0.466666667,173.9,1.753425431,0.051,0.85,0.51,,0.481099656,1.138211382
7,90% BOF,347.318,12402.28281,98.7304,154.1,1.560816121,0.056666667,0.944444444,0.566666667,145.8,1.476748803,0.061,1.016666667,0.61,,0.58419244,1.382113821
8,Profile h = 0.45,346.804,12383.93958,122.198,117.1,0.958280823,0.074666667,1.244444444,0.746666667,99.4,0.813433935,0.089,1.483333333,0.89,,0.76975945,1.821138211
9,Profile h = 0.5,346.739,12381.60942,114.131,140.3,1.22928915,0.062,1.033333333,0.62,125.8,1.10224216,0.071,1.183333333,0.71,,0.639175258,1.512195122
10,Profile h = 0.55,346.72,12380.94938,106.313,156.9,1.475830802,0.055666667,0.927777778,0.556666667,145,1.363897172,0.061,1.016666667,0.61,,0.573883162,1.357723577
11,Profile h = 0.6,346.722,12381.00088,98.5946,169.1,1.715104073,0.051333333,0.855555556,0.513333333,159.1,1.61367864,0.056,0.933333333,0.56,,0.529209622,1.25203252
12,Profile h = 0.65,346.732,12381.37204,90.8389,178.2,1.96171464,0.048666667,0.811111111,0.486666667,169.8,1.869243243,0.053,0.883333333,0.53,,0.501718213,1.18699187
13,Profile h = 0.7,346.745,12381.82677,82.8979,185.1,2.232867178,0.047,0.783333333,0.47,178,2.147219652,0.05,0.833333333,0.5,,0.484536082,1.146341463
14,Profile h = 0.75,346.762,12382.41985,74.601,190.5,2.553585073,0.045666667,0.761111111,0.456666667,184.6,2.474497661,0.049,0.816666667,0.49,,0.470790378,1.113821138
15,Profile h = 0.8,346.78,12383.09439,65.7091,194.8,2.96458177,0.044333333,0.738888889,0.443333333,190,2.891532527,0.047,0.783333333,0.47,,0.457044674,1.081300813
16,Profile h = 0.85,346.8,12383.80297,56.0989,198.2,3.533046103,0.043666667,0.727777778,0.436666667,194.4,3.465308589,0.046,0.766666667,0.46,,0.450171821,1.06504065
